,chords,view,star,date,url,text
Бедный Йорик,"['A', 'Am', 'F', 'G', 'C', 'E', 'Dm']",6619,14,21.08.2015,https://amdm.ru/akkordi/knyazz/121481/bedniy_yorik/,"['Вступление:', 'Куплет 1:', 'Бедный Йорик череп твой', 'У меня в руках', 'Всё что было превратилось в прах', 'Будто снова рассмешить', 'Ты меня готов', 'Скалишь рот остатками зубов', 'Колдуном великим был ты много лет', 'А теперь ни звука не издашь в ответ', 'Бедный Йорик друг мой старый', 'Растворились твои чары', 'Куплет 2:', 'Где ты мой любимый шут', 'Кем ты стал ответь', 'В царстве мёртвых развлекаешь смерть', 'Мне же тьму пустых глазниц', 'Завещал и в миг', 'Свет ищу весёлых глаз твоих', 'Юмор наш с тобой никто не понимал', 'Прожил жизнь свою ты словно роль сыграл', 'Бедный Йорик друг мой старый', 'Растворились твои чары', 'Что ты где то рядом кажется порой', 'Добрый шут мой поболтай опять со мной', 'Бедный Йорик друг мой старый', 'Растворились твои чары', 'Йорик Бедный Йорик', 'Йорик Бедный Йорик', 'Йорик']"
Безбородыч,"['Am', 'C', 'Dm', 'E', 'F', 'G']",4119,11,06.05.2021,https://amdm.ru/akkordi/knyazz/182624/bezborodich/,"['Эх, братцы, не лучшая затея:', 'Сдаться в руки брадобрея.', 'Всё то, что отращивал годами', 'Вдруг взял послал к такой-то маме.', 'Зачем я расстался с бородой?', 'Теперь я хожу, как молодой.', 'Припев', 'Безбородым быть кому-то', 'В самый раз, а мне — не круто!', 'Стала харя молодая,', 'Нафиг мне нужна такая.', 'С мужиками, с кем общались,', 'В тот же день мы разругались.', 'Мне измены не простили', 'И бухать не пригласили.', 'Сам себе я в зеркале не рад.', 'Куда девался прежний злобный взгляд!', 'Хоть я внутри остался прежним', 'С тем же характером и стержнем,', 'Но был первым парнем я в округе!', 'Нынче сбежали все подруги.', 'К такому я, право, не привык!', 'Как будто я больше не мужик.']"
"Бей, Фреди","['Fm', 'G#', 'B', 'C', 'C#', 'F#']",3314,1,18.12.2015,https://amdm.ru/akkordi/knyazz/130399/bey_fredi/,"['Intro:', '}4p', '|', '}4p', 'Район как в кино –', 'Бездельников полно.', 'Не любят шутить,', 'Могут и убить.', 'Прям жуть!', 'Фреди, гордость защити!', 'Забудь мирные пути,', 'Мирные пути,', 'Здесь общий язык не найти.', 'Бей, Фреди! Бей, Фреди!', 'Не тормози!   Не тормози!', '|', 'Бей, Фреди! Бей, Фреди!', 'Бей, Фреди! Бей, Фреди!', 'Не тормози!   Не тормози!', '|', 'Бей, Фреди! Бей, Фреди!', '|', '}4p', 'Зачем ты такой,', 'Наивный и смешной?', 'Зачем всё терпеть?', 'Обидели – ответь!', 'Бедный', 'Фреди, в свои двадцать семь', 'Не вредный,', 'Вежливый ко всем,', 'Он вежливый ко всем,', 'Дать бой не способен совсем.', 'Бей, Фреди! Бей, Фреди!', 'Не тормози!   Не тормози!', '|', 'Бей, Фреди! Бей, Фреди!', 'Бей, Фреди! Бей, Фреди!', 'Не тормози!   Не тормози!', '|', '|', 'Бей, Фреди! Бей, Фреди!', '|', '}3p', '|', '}4p', '|', '|', '|', '}4p', 'В жестоком мире, тем не менее,', 'Нашёл своё он направление.', 'Поёт с улыбкой возле храма', 'Он «Харе Кришна – Харе Рама».', 'В жестоком мире, тем не менее,', 'Нашёл своё он направление.', 'Поёт с улыбкой возле храма', 'Он «Харе Кришна – Харе Рама».', 'В жестоком мире, тем не менее,', 'Нашёл своё он направление.', 'Поёт с улыбкой возле храма', '«Харе Кришна – Харе Рама».', 'Он поёт возле храма', '«Харе Кришна – Харе Рама».', 'Он поёт возле храма', '«Харе Кришна – Харе Рама».']"
Билли Миллиган,"['Bm', 'Em', 'D5', 'Am', 'C5', 'G']",2260,2,25.01.2021,https://amdm.ru/akkordi/knyazz/180166/billi_milligan/,"['[Вступление]:', '5:--7--5--7-9--7--5--7-9-7--|  х6', '5:------------------------2-|', '6:--9-8-7-5-3-1-2-3-5-3-2---|  х4', '[Куплет 1]:', 'Я представиться могу,', 'Но имя вряд ли что-то значит.', 'Как и с кем, всю жизнь живу –', 'Боюсь, любого озадачит.', 'Предсказать непросто, кто в текущий момент', 'Пожелает для общения выйти на свет.', '[Припев]:', 'Это не чудеса –', 'В голове голоса.', '1:---7~-|', '2:---7~-|', '[Куплет 2]:', 'Полагая, что актёр', 'Пред вами, право, вы мне льстили.', 'Новый голос, новый взор –', 'Менялись, как перчатки, стили.', 'К сожалению, сам себе я не господин,', 'Не найти покоя, даже если один.', '[Припев]:', 'Это не чудеса –', 'В голове голоса.', '1:---7~-|', '2:---7~-|', '5:------------------------2-|', '6:--9-8-7-5-3-1-2-3-5-3-2---|  х2', '[Соло]:', 'х2', 'х2', '[Кода]:', 'Это не чудеса –', 'В голове голоса..']"
Боль,"['Em', 'C', 'Am', 'B7', 'A', 'F#m', 'C#m', 'G#']",8200,18,24.01.2015,https://amdm.ru/akkordi/knyazz/105153/bol/,"['Снова я лишён покоя', 'Что с тобой моя душа', 'Просишься на небеса', 'Да кому ж ты там нужна', 'Из какой-то тёмной бездны', 'Голоса меня зовут', 'Все стремленья бесполезны', 'Здесь меня нигде не ждут', 'Боль терзает,  затуманен взгляд, затуманен взгляд.', 'Время тает,  нет пути назад, нет пути назад.', 'Путь творца тернист и зыбок', 'Я отшельник и изгой', 'От своих устал ошибок', 'Вечный спор с самим собой', 'Чувства странные тревожат', 'Мысли мрачные гнетут', 'Ночь хмельная не поможет', 'Вырваться из тяжких пут', 'Боль терзает,  затуманен взгляд, затуманен взгляд.', 'Время тает,  нет пути назад, нет пути назад.', 'Иногда свою реальность', 'Выносить невмоготу', 'И во сне от мук спасаясь', 'Часто вскакивал в поту', 'Как же быть, раздумья гложут', 'Лучше одному в глуши', 'И страданье приумножит', 'Поиск родственной души', 'Боль терзает,  затуманен взгляд, затуманен взгляд.', 'Время тает,  нет пути назад, нет пути назад.']"
Брат,"['F#m', 'Hm', 'C#m', 'F#5', 'B5', 'A', 'D5', 'C#5', 'G#', 'Bm']",44971,60,27.01.2017,https://amdm.ru/akkordi/knyazz/157140/brat/,"['[Вступление]:', '/', 'x3', '[Куплет 1]:', 'Уймись, брат,  ей-Богу!', 'Неужто ты хорошей жизни захотел?', 'Какую   дорогу,', 'Ты выбрал? Что тебе на ухо чёрт напел?', '[Припев]:', 'Ну что за жизнь? Кто друг, кто враг?', 'Ни ты, ни я -  по - нять не можем, к сожаленью, всё никак', 'Бери ружьё, седлай коня', 'Скачи судьбе на - встречу, ну а выпьешь — вспомни про меня', 'У - у - у - у - у - у - у - у - у - у - у - у', 'У - у - у - у - у - у - у - у - у..', '[Проигрыш]:', 'x2', '[Куплет 2]:', 'Нас время  рассудит,', 'Лет десять пролетит, и ты меня поймёшь.', 'Меж нами  не будет,', 'Вражды, но помни: что посеешь - то пожнёшь.', '[Припев]:', 'Конечно, брат, тебя там ждут —', 'Догонят и е - щё да - дут,  своим ты будешь только тут', 'Бери ружьё, седлай коня', 'Скачи судьбе на - встречу, ну а выпьешь — вспомни про меня', 'У - у - у - у - у - у - у - у - у - у - у - у', 'У - у - у - у - у - у - у - у - у..', '[Соло]:', 'x4', '[Припев]:', 'Ну что за жизнь? Кто друг, кто враг?', 'Ни ты, ни я -  по - нять не можем, к сожаленью, всё никак', 'Бери ружьё, седлай коня', 'Скачи судьбе на - встречу, ну а выпьешь — вспомни про меня.', 'У - у - у - у - у - у - у - у - у - у - у - у', 'У - у - у - у - у - у - у - у - у..', 'У - у - у - у - у - у - у - у - у', 'У - у - у - у - у - у - у - у - у..']"
Бред,"['C5', 'G', 'Am', 'F', 'Dm']",1034,1,04.11.2021,https://amdm.ru/akkordi/knyazz/186943/bred/,"['Каждой ночью я смеюсь', 'Подолгу над собой,', 'Нарушая свой покой,', 'В этот мир внося дестрой,', 'Чтобы все перевернуть', 'В своей буйной голове.', 'Этот необычный путь', 'К совершенству близок мне.', 'Я навязывал другим,', 'Как меня воспринимать.', 'Я стремился быть крутым,', 'А теперь мне наплевать.', 'Это первая ступень', 'К озарению — дарит свет,', 'Когда ты осознаешь,', 'Что вся жизнь, по сути – бред.', 'Можно всех послать, разум потерять,', 'В прошлом застрять, вести себя гнусно.', 'Но лучше жизнь свою, как воды струю', 'Направлять в нужное русло.', 'А я больше не курю,', 'Алкоголь я не люблю.', 'Для кого-то это Ад,', 'Для меня же – Райский сад.', 'Надоело забывать', 'Обстоятельства тех дней,', 'Когда начал заползать', 'В разум мой зелёный змей.', 'Что не помогает жить,', 'То отныне не со мной.', 'В голове я слышу вновь', 'Разговор с самим собой,', 'Но причастность к болтовне', 'К этой не имею, нет,', 'Потому что и во мне', 'Обитает Чертов бред.', 'Можно всех послать, разум потерять,', 'В прошлом застрять, вести себя гнусно.', 'Но лучше жизнь свою, как воды струю', 'Направлять в нужное русло.', 'x2', 'Можно всех послать, разум потерять,', 'В прошлом застрять, вести себя гнусно.', 'Но лучше жизнь свою, как воды струю', 'Направлять в нужное русло.']"
Буйство духов,"['F#m', 'E5', 'Bm', 'D5', 'C#m', 'A', 'Hm', 'F#']",1214,3,27.01.2021,https://amdm.ru/akkordi/knyazz/180182/buystvo_duhov/,"['[Вступление]:', 'x2', '4:-------------------------------------7-9-11-------|', '5:--9--12-11-9-7--11-9-7-5--5/7/5-5-7-9-------12-11-|', '4:-------------------------------------7-9-11-~13-~12--|', '5:--9--12-11-9-7--11-9-7-5--5/7/5-5-7-9----------------|', 'x2', '[Куплет 1]:', 'Дом строил я для нас,', 'Надеялся на шанс', 'Жизнь наладить. Рвение моё', 'Не помогло, увы...', 'К ссорам вернулись мы,', 'Два патрона вставил я в ружьё.', '[Припев]:', 'Два буйных духа!', 'Эх, заваруха!', 'Ночь настаёт,', 'Не повезёт!', 'Тем, кто   здесь живёт.', 'Блудница! – Мерзавец!', 'Ведьма! – Колдун!', 'Стерва! – Тиран!', 'Грымза! – Упырь!', '[Куплет 2]:', 'Сна и покоя нет', 'Новым жильцам, дуэт.', 'Злобных духов – всех источник бед.', 'Не прекращается дуэль,', 'Что началась при жизни. С ней', 'У нас извести друг друга – неизменна цель.', '[Припев]:', 'Два буйных духа!', 'Эх, заваруха!', 'Ночь настаёт,', 'Не повезёт!', 'Тем, кто   здесь живёт.', 'x2', '4:-------------------------------------7-9-11-------|', '5:--9--12-11-9-7--11-9-7-5--5/7/5-5-7-9-------12-11-|', '4:-------------------------------------7-9-11-~13-~12-|', '5:--9--12-11-9-7--11-9-7-5--5/7/5-5-7-9---------------|', '[Кода]:', 'Стулья летают,', 'Люди не знают,', 'Кем населён', 'С давних времён', 'Этот   старый дом.']"
Бывший раб,"['Gm', 'A#/C5', 'D5', 'F', 'A#', 'C5', 'D5/Eb5', 'D5/Eb', 'A#/C', 'G', 'F5', 'G5', 'A#5']",9228,9,16.06.2019,https://amdm.ru/akkordi/knyazz/169181/byvshiy_rab/,"['[Вступление]:', 'x8', 'x2', 'x2', '[Куплет 1]:', 'Он был никто, и звать никак,', 'Прислуживал, где мог,', 'Завидовал достойным втихаря.', 'Но лишь бездельник и дурак', 'Не совершит рывок,', 'Когда есть шанс залезть на трон Царя.', 'Корону мерить он горазд,', 'Но как правитель слаб.', 'Всё потому, что хуже нет царя,', 'Чем бывший раб.', '[Проигрыш]:', 'x2', '[Куплет 2]:', 'Всю жизнь подсиживал других,', 'Добившись своего', 'К себе подобным жалость не питал.', 'Но брал он слуг на ум тугих,', 'Чтоб слуги ни на что', 'Не зарились, чем вождь их обладал.', 'Когда он мысли изрекал', 'Хотелось вставить кляп.', 'Всё потому, что хуже нет царя,', 'Чем бывший раб.', '[Припев]:', 'Фанаты, крик.', 'Он каждый миг', 'Как одержимый платит', 'Дань короне.', 'А кем он был', 'Совсем забыл', 'И такова судьба', 'Раба на троне.', '}x2', '[Куплет 3]:', 'Всех неугодных он изгнал,', 'С кем ладить нелегко,', 'Борзел он ни по дням, а по часам.', 'Один лишь человек признал', 'Величие его', 'И это, как ни странно,', 'Был он сам.', 'В том царстве глупость обрела', 'Невиданный масштаб,', 'Всё потому, что хуже нет царя,', 'Чем бывший раб.', '[Припев]:', 'Фанаты, крик.(Фанаты, крик.)', 'Он каждый миг (Он каждый миг)', 'Как одержимый платит', 'Дань короне.', 'А кем он был(А кем он был)', 'Совсем забыл (Совсем забыл)', 'И такова судьба', 'Раба на троне.', '[Соло]:', '/', '/', '/', '/', '/', '/', '/', '/', 'x6', '[Бридж]:', '/', 'Судьба раба,   судьба раба', 'И такова судьба раба на троне.', '/', 'Судьба раба,   судьба раба', 'И такова судьба раба на троне.', '/', 'Судьба раба,(судьба раба!) судьба раба(судьба раба!)', 'И такова судьба раба на троне.', '/', 'Судьба раба,(судьба раба!) судьба раба(судьба раба!)', 'И такова судьба раба на троне.', '[Кода]:', 'Ла-ла-ла-ла-ла-ла-ла-ла--ла-лай.']"
В пасти тёмных улиц,"['C5', 'F5', 'G5', 'Cm', 'Gm', 'Fm', 'Fmsus4', 'Fm7', 'Ab', 'Bb', 'G', 'F', 'Cmadd9', 'Cmadd11', 'Bb5']",28690,59,20.12.2014,https://amdm.ru/akkordi/knyazz/102354/v_pasti_tyomnih_ulic/,"['Вступление:', '|', '|', '|', '}x2', '|', '|', '|', '}x2', '|', '|', '|', '|', '|', '|', '|', '}x2', 'Как юнец сто ночей', 'Шёл за ней, я шёл за ней.', 'Мне несла эта роль', 'Только боль, только боль.', 'Нутро моё шептало:', 'Тут дело нечисто,', 'Оставь её,', 'Твоя любовь - самоубийство.', 'Свет - тень,', 'Ночь - день.', 'Хей-хей!', 'Припев:', 'Во мрак дома людские окунулись,', 'Шумят потоки ледяных дождей.', 'Блуждаю молча в пасти тёмных улиц,', 'Страдая от слепой любви своей.', 'Пробудив в сердце страсть,', 'Был готов в бездну пасть.', 'Я берёг нашу связь,', 'Не боясь, не боясь.', 'Чем ближе к ней,', 'К созданию древних кровей,', 'Тем каждый шаг', 'Давался мне всё тяжелей.', 'Свет - тень,', 'Ночь - день.', 'Хей-хей!', 'Припев:', 'Во мрак дома людские окунулись,', 'Шумят потоки ледяных дождей.', 'Блуждаю молча в пасти тёмных улиц,', 'Страдая от слепой любви своей.', 'Способность очаровывать вампиров ей дана -', 'Опустошать их как бокалы терпкого вина.', 'Лишаясь сил, в ночи упорно следуют за ней', 'И гибнут, так и не достигнув цели призрачной своей.', 'Проигрыш:', '|', '|', '|', '|', '|', '|', '|', 'Хей-хей!', 'Припев:', 'Во мрак дома людские окунулись,', 'Шумят потоки ледяных дождей.', 'Блуждаю молча в пасти тёмных улиц,', 'Страдая от слепой любви своей.', 'Цель была близка,', 'Сгинула тоска,', 'И, лишаясь сил,', 'Я глаза закрыл.', 'Кода:', '|', '|', '|', '}x4', '|', '|', '|', '}x2']"
Вервольф,"['Em', 'Am', 'Bm', 'D', 'G#5', 'A5', 'G']",3658,2,13.10.2015,https://amdm.ru/akkordi/knyazz/125461/vervolf/,"['Я, с тобой поделюсь своим личным –', 'Не подумай, что простак.', 'Может, тебе кажусь романтичным –', 'Только это всё не так. Это всё не так.', 'Нет, это всё не так.', 'Нет, это всё не так.', 'Нет, это всё не так.', 'Не оправдание признания,', 'Не попытка улизнуть.', 'Жизнь моя - млечный путь, и старания', 'Не изменят мою суть.', 'Нет, не изменят суть.', 'Нет, не изменят суть.', 'Нет, не изменят суть.', 'Нет, не изменят суть.', '6e   g   a   b 5e   d 6ba g', 'Тень Вервольфа приближается', 'К светлой любви очагу.', 'Изменить судьбу я не могу', 'И прочь бе  гу, и прочь бе  гу.', '6e  g a   b 5e d6ba g', 'Сомневаться не советую –', 'Верь мне, я не лгу!', 'Знай, что ты стоишь на тонком льду.', 'На тонком льду.  На тонком льду.', 'Скоро вой.', 'Скоро вой твой нарушит покой.', 'Скоро вой.', 'Скоро вой твой нарушит покой.', 'Бойся любви моей, дай мне право', 'Раствориться в шумной толпе.', 'Тебе налево, а мне направо,', 'На одной не быть нам тропе.', 'На одной тропе, нам на одной тропе.', 'Не быть на одной тропе,', 'Нам на одной тропе.', '6e   g   a   b 5e   d 6ba g', 'Тень Вервольфа приближается', 'К светлой любви очагу.', 'Изменить судьбу я не могу', 'И прочь бе  гу, и прочь бе  гу.', '6e  g a   b 5e d6ba g', 'Сомневаться не советую –', 'Верь мне, я не лгу!', 'Знай, что ты стоишь на тонком льду.', 'На тонком льду.  На тонком льду.', 'Скоро вой.', 'Скоро вой твой нарушит покой.', 'Скоро вой.', 'Am!', 'Скоро вой твой нарушит покой.']"
